단원,단어,뜻
01 단원,significant,"중요한; 의미 있는; 상당한, 아주 큰"
01 단원,exhibit,"보이다, 보여 주다; 전시하다; 전시품; 전시회"
01 단원,demonstrate,"입증하다, 증명하다; (행동으로) 보여 주다, 설명하다; 시위운동을 하다"
01 단원,mislead,오도[호도]하다; 속이다
01 단원,patent,특허(권); 특허의; 특허를 받다
01 단원,categorize,"분류하다, 범주에 넣다"
01 단원,innovate,쇄신[혁신]하다
01 단원,negotiator,"협상자, 교섭자"
01 단원,abstraction,추상 (작용); 추상적 개념; 추출
01 단원,statue,"조각상, (동)상"
01 단원,rust,"녹; 녹슬다, 부식시키다"
01 단원,execute,"실행하다, 수행하다; 처형하다, 사형하다"
01 단원,neglect,"무시하다, 등한시하다; 게을리하다; ~하지 않다; 무시, 경시; 부주의; 태만; 불이행"
01 단원,invoke,"(근거로) 들다[언급하다]; (법을) 발동[실시]하다; (법에) 호소하다; (신에게) 기원하다, 간구하다"
01 단원,superstition,미신; 미신적 행위[관습]
01 단원,anchor,닻; 종합 사회자; 닻을 내려 정박시키다; 고정시키다
01 단원,dangle,"(달랑) 매달리다, 흔들흔들하다; (남에게 붙어) 따라 다니다"
01 단원,expedition,"탐험, 원정; 탐험대, 원정대; 신속, 급속"
01 단원,exception,"예외, 이례; 제외; 이의, 반대"
01 단원,rear,"뒤(쪽), 배후; 뒤쪽의; 기르다, 교육하다"
01 단원,rare,"보기 드문, 희귀한; 진귀한; 살짝 익힌"
01 단원,discard,"버리다, 폐기하다; (사람을) 저버리다, 해고하다"
01 단원,discord,"불일치, 불화; 불협화음"
01 단원,objective,"객관적인; 물체의, 물질적인; <철학> 실증적인; 목적, 목표"
01 단원,come up with,~을 만들어 내다[생산하다]; ~을 제시[제안]하다
01 단원,at first glance,"언뜻 보기에는, 처음에는"
01 단원,wipe out,~을 완전히 없애다[말살시키다]
01 단원,cannot help but do,~하지 않을 수 없다
01 단원,in the presence of,"~이 있을 때, ~가 있는 데서"
01 단원,cut off,"~을 잘라 내다; ~을 차단하다, ~을 가로막다"
02 단원,interaction,상호 작용[영향]
02 단원,grateful,"감사하는, 고마워하는"
02 단원,regulate,"규제하다, 통제하다; 조절[조정]하다"
02 단원,administer,관리[운영]하다; (법률·재판 등을) 집행[시행]하다; 주다; (약을) 투여하다
02 단원,detrimental,"해로운, 불리한"
02 단원,favorable,"호의적인; 찬성하는; 유리한, 형편에 알맞은"
02 단원,occupy,"(지위·일자리를) 차지하다; 사용하다, 점유하다"
02 단원,subconscious,잠재의식적인; 잠재의식
02 단원,acquaintance,"아는 사람, 지인; 면식(이 있음), 친분; 지식, (사물에) 밝음"
02 단원,colleague,"동료, 동업자"
02 단원,coexist,공존하다
02 단원,seedling,묘목
02 단원,explode,"폭발하다[시키다], 터지다; (인구 등이) 폭발적으로 증가하다"
02 단원,stir,"휘젓다, 뒤섞다; 움직이다[흔들리다]; 자극하다, 동요시키다; 휘젓기, 뒤섞기; 동요"
02 단원,irresistible,저항할[억누를] 수 없는; 너무 유혹적인
02 단원,deduce,"(결론·진리 등을) 추론[추정]하다, 연역(演繹)하다"
02 단원,pollinator,수분[꽃가루] 매개자
02 단원,violation,"위반, 위배; 방해, 침해"
02 단원,violence,폭력; 격렬함
02 단원,ascend,"오르다, 상승하다; 승진하다"
02 단원,assent,"동의하다, 찬성하다; 찬성; 승인"
02 단원,underlie,~의 기저를 이루다; ~의 밑에 있다
02 단원,underline,밑줄을 긋다; 강조하다; 밑줄
02 단원,attribute,"~의 탓[덕분]으로 돌리다; (성질 등이) 있다고 생각하다; (…이) ~의 것이라고 생각하다; 속성, 특질"
02 단원,take ~ into account,"~을 고려하다, ~을 참작하다[계산에 넣다]"
02 단원,at the expense of,"~을 희생하여, ~의 비용을 대가로"
02 단원,keep up with,~에 뒤처지지 않고 따라가다; 시류를 따르다; ~와 계속 연락하고 지내다
02 단원,lag behind,~보다 뒤처지다[낙후되다]
02 단원,in vain,"허사가 되어, 헛되이"
02 단원,do away with,~을 폐지하다[버리다]; ~을 처분하다
03 단원,respondent,"응답자; 응하는, 반응하는"
03 단원,entail,(필연적으로) 수반하다; (비용·노력 등을) 필요로 하다
03 단원,sophisticated,"세련된, 지적인; (기계 등이) 정교한"
03 단원,elaborate,"정교한, 공들인; 자세히 말하다; 공들여 만들다; 다듬다"
03 단원,receptor,(인체의) 수용기[감각기]
03 단원,prescribe,"처방하다; 규정하다, 지시하다"
03 단원,acute,"심각한; 격렬한; (질병이) 급성의; (생김새가) 날카로운, 예리한"
03 단원,reflection,"(거울 등에 비친) 상[모습]; 반사; 반영; 숙고, 반성"
03 단원,stabilize,"안정되다, 안정[고정]시키다"
03 단원,elimination,"제거, 배제"
03 단원,profitable,"유익한, 이익이 되는; 수익성이 높은"
03 단원,spherical,"구 모양의, 구형의; 천체의"
03 단원,figurative,"비유적인; 회화[조소]적 표현의, 형상적인"
03 단원,cohesive,"화합하는, 단결된; 응집[점착]력이 있는"
03 단원,suspension,"매달리기; 일시 정지; 정학; 연기, 보류"
03 단원,dense,"밀집한, 빽빽한; (인구가) 조밀한; (안개 등이) 짙은; 농후한"
03 단원,considerable,"상당한, 많은; 중요한, 무시할 수 없는"
03 단원,considerate,"배려하는, 사려 깊은; 이해심이 있는"
03 단원,laboratory,"실험실, 실습실; 실험실(용)의, 실습의"
03 단원,monetary,"통화[화폐]의; 금전(상)의, 재정적인"
03 단원,momentary,"순간적인, 잠깐의"
03 단원,longevity,장수; 수명
03 단원,longitude,"경도(經度), 경선(經線)"
03 단원,matter,"문제, 일; 사건, 사태; 물질; 물체; 재료; 중요하다, 문제가 되다"
03 단원,be used to -ing,~을 하는 것에 익숙하다
03 단원,be accustomed to -ing,"~을 하는 것에 익숙하다, ~을 하는 것이 습관이 되다"
03 단원,interfere with,~을 방해하다
03 단원,make the most of,~을 최대한 활용하다
